FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
136,2,758,Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",1244061506.67969,141295.659733427
137,2,906,Pedionomus torquatus,Plains-wanderer,3195001977.19922,414008.646352682
137,2,1270,Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",3195001977.19922,414008.646352682
138,2,225,Petrogale penicillata,Brush-tailed Rock-wallaby,1866679164.59375,486597.444147505
138,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",1866679164.59375,486597.444147505
139,2,84650,Pezoporus flaviventris,"Western Ground Parrot, Kyloring",523912296.371094,142853.064547689
139,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",523912296.371094,142853.064547689
140,2,59350,Pezoporus occidentalis,Night Parrot,2744333890.89844,666312.028622624
140,2,8301,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",2744333890.89844,666312.028622624
141,2,59350,Pezoporus occidentalis,Night Parrot,51111072082.3027,3212383.1567832
141,2,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",51111072082.3027,3212383.1567832
142,2,59350,Pezoporus occidentalis,Night Parrot,15023011009.1895,2967331.25014725
142,2,942,Erythrotriorchis radiatus,Red Goshawk,15023011009.1895,2967331.25014725
143,2,59350,Pezoporus occidentalis,Night Parrot,34369059108.7773,2861835.43174856
143,2,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",34369059108.7773,2861835.43174856
144,2,59350,Pezoporus occidentalis,Night Parrot,106504137189.436,6914095.80781435
144,2,282,Macrotis lagotis,Greater Bilby,106504137189.436,6914095.80781435
145,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",203949824.511719,81170.0443012736
145,2,198,Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",203949824.511719,81170.0443012736
146,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",471158271.722656,157943.439443659
146,2,96,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",471158271.722656,157943.439443659
147,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",33612098.0273438,23209.6537202658
147,2,56792,Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin Blue-eye",33612098.0273438,23209.6537202658
148,2,906,Pedionomus torquatus,Plains-wanderer,13857933427.2266,2419074.00234148
148,2,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",13857933427.2266,2419074.00234148
149,2,906,Pedionomus torquatus,Plains-wanderer,10704342356.1328,1302499.43853558
149,2,282,Macrotis lagotis,Greater Bilby,10704342356.1328,1302499.43853558
150,2,906,Pedionomus torquatus,Plains-wanderer,148264166.859375,48901.4922603914
150,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",148264166.859375,48901.4922603914
151,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",291837315.212891,182788.413602789
151,2,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",291837315.212891,182788.413602789
152,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",2621381079.65234,852871.286444646
152,2,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",2621381079.65234,852871.286444646
153,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",37423870.3867188,24579.3233415108
153,2,1270,Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",37423870.3867188,24579.3233415108
154,2,906,Pedionomus torquatus,Plains-wanderer,115582248.796875,74927.5688555039
154,2,82338,Anthochaera phrygia,Regent Honeyeater,115582248.796875,74927.5688555039
155,2,906,Pedionomus torquatus,Plains-wanderer,307719418.269531,149729.284969135
155,2,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,307719418.269531,149729.284969135
156,2,906,Pedionomus torquatus,Plains-wanderer,190047207.992188,123948.672073285
156,2,56791,Craterocephalus fluviatilis,Murray Hardyhead,190047207.992188,123948.672073285
157,2,906,Pedionomus torquatus,Plains-wanderer,505553983.300781,117195.86349785
157,2,942,Erythrotriorchis radiatus,Red Goshawk,505553983.300781,117195.86349785
